Name,Platform,Category,FollowerCount,Country,AdRate
John Smith,Instagram,Fitness,500000,USA,2500.0
Emma Johnson,YouTube,Beauty,2000000,UK,5000.0
David Lee,TikTok,Comedy,1500000,Canada,3000.0
Sophia Chen,Instagram,Fashion,800000,China,1800.0
Michael Brown,YouTube,Gaming,3000000,USA,7000.0
Olivia Garcia,TikTok,Dance,1200000,Spain,2200.0
William Kim,Instagram,Travel,600000,South Korea,1500.0
Emily Martinez,YouTube,Cooking,900000,Mexico,2000.0
James Wilson,Twitch,Gaming,400000,Australia,1200.0
Ava Taylor,Instagram,Lifestyle,700000,USA,1800.0
Robert Chen,TikTok,Education,1800000,Singapore,4500.0
Maria Lopez,YouTube,Makeup,2500000,Brazil,6000.0
Alex Wong,Instagram,Technology,1300000,Hong Kong,3200.0
Sofia Rodriguez,TikTok,Music,2200000,Argentina,4800.0
Thomas Mueller,YouTube,Sports,1700000,Germany,3800.0
Liam Johnson,Twitch,Gaming,2800000,Canada,6500.0
Chloe Baker,Instagram,Art,550000,France,1600.0
Daniel Kim,TikTok,Comedy,950000,South Korea,2300.0
Isabella Rossi,YouTube,DIY,1100000,Italy,2700.0
Ethan Carter,Instagram,Photography,750000,Australia,1900.0
Mia Zhang,TikTok,Fashion,1450000,China,3500.0
Noah Phillips,YouTube,Science,1250000,UK,3200.0
Olivia Wilson,Instagram,Travel,880000,New Zealand,2100.0
Lucas Garcia,Twitch,Gaming,1900000,Mexico,4200.0
Victoria Wang,TikTok,Dance,1350000,Taiwan,3100.0
Samuel Park,Instagram,Food,670000,South Korea,1750.0
Zoe Brown,YouTube,Lifestyle,2300000,USA,5500.0
Ryan Chen,TikTok,Education,1150000,China,2800.0
Grace Wilson,Instagram,Beauty,920000,Canada,2300.0
Benjamin Lopez,YouTube,Comedy,1850000,Spain,4200.0
Natalie Kim,TikTok,Music,1550000,Japan,3600.0
Christopher Torres,Instagram,Fitness,780000,Mexico,2000.0
Amelia Clark,YouTube,Fashion,2700000,UK,6300.0
Matthew Nguyen,Twitch,Gaming,1050000,Vietnam,2500.0
Lily Wang,Instagram,Travel,830000,Singapore,2100.0
Andrew Smith,TikTok,Comedy,1750000,USA,4000.0
Hannah Chen,YouTube,Cooking,1680000,Taiwan,3900.0
Jack Martinez,Instagram,Technology,720000,Spain,1850.0
Abigail Kim,TikTok,Dance,1300000,South Korea,3000.0
Elijah Johnson,YouTube,Education,2100000,UK,5200.0
Charlotte Davis,Instagram,Art,550000,France,1650.0
Gabriel Rodriguez,TikTok,Sports,1900000,Brazil,4300.0
Madison Wright,YouTube,Beauty,2550000,Canada,6000.0
Isaac Lee,Twitch,Gaming,3200000,USA,7500.0
Aria Patel,Instagram,Fashion,780000,India,1900.0
Henry Wilson,TikTok,Comedy,1050000,Australia,2600.0
Zara Thompson,YouTube,DIY,1350000,New Zealand,3300.0
Leo Garcia,Instagram,Photography,690000,Mexico,1800.0
Scarlett Chen,TikTok,Food,1550000,China,3700.0
Miles Taylor,YouTube,Science,2050000,UK,5000.0
Audrey Kim,Instagram,Travel,870000,Japan,2200.0
Owen Martin,TikTok,Music,1150000,Ireland,2800.0
Penelope Brown,YouTube,Gaming,2900000,USA,6700.0
Maxwell Chen,Instagram,Fitness,710000,Hong Kong,1850.0
Stella Wong,TikTok,Dance,1400000,Singapore,3300.0
Caleb Johnson,YouTube,Comedy,1950000,Canada,4500.0
Nora Rodriguez,Instagram,Beauty,850000,Spain,2100.0
Julian Smith,TikTok,Education,1750000,UK,4100.0
Maya Lewis,YouTube,Fashion,2300000,USA,5400.0
Felix Garcia,Twitch,Gaming,1100000,Mexico,2700.0
Hazel Chen,Instagram,Art,590000,China,1700.0
Sebastian Kim,TikTok,Sports,1850000,South Korea,4300.0
Lucy Walker,YouTube,Makeup,2650000,Australia,6200.0
Eli Wilson,Instagram,Technology,750000,Canada,1950.0
Nova Martinez,TikTok,Music,1450000,Spain,3500.0
Landon Taylor,YouTube,Education,2150000,UK,5200.0
Violet Nguyen,Instagram,Travel,920000,Vietnam,2300.0
Mateo Garcia,TikTok,Comedy,1600000,Mexico,3800.0
Naomi Wong,YouTube,Cooking,1750000,Singapore,4200.0
Adrian Chen,Instagram,Photography,680000,Taiwan,1800.0
Ivy Johnson,TikTok,Fashion,1250000,USA,3000.0
Grayson Smith,YouTube,Science,2450000,UK,5800.0
Willow Davis,Instagram,Lifestyle,790000,Canada,2000.0
Roman Rodriguez,TikTok,Dance,1350000,Spain,3300.0
Emery Wilson,YouTube,Beauty,2350000,Australia,5600.0
Aurora Lee,Twitch,Gaming,950000,South Korea,2400.0
Hudson Brown,Instagram,Fitness,720000,USA,1900.0
Ruby Wang,TikTok,Education,1900000,China,4400.0
Dominic Taylor,YouTube,Comedy,2050000,UK,4900.0
Eden Garcia,Instagram,Travel,850000,Mexico,2200.0
Silas Chen,TikTok,Music,1600000,Taiwan,3800.0
Piper Johnson,YouTube,Fashion,2750000,USA,6400.0
Rio Martinez,Instagram,Technology,710000,Spain,1850.0
Juniper Kim,TikTok,Food,1400000,South Korea,3300.0
Tristan Wilson,YouTube,Gaming,2850000,Canada,6600.0
Georgia Chen,Instagram,Art,580000,China,1700.0
Xander Brown,TikTok,Sports,1950000,USA,4500.0
Delilah Wong,YouTube,DIY,1750000,Singapore,4100.0
Finn Davis,Instagram,Photography,650000,UK,1750.0
Sadie Garcia,TikTok,Dance,1300000,Spain,3100.0
Isaiah Johnson,YouTube,Education,2250000,USA,5300.0
Rosie Smith,Instagram,Beauty,890000,Canada,2250.0
Axel Rodriguez,TikTok,Comedy,1550000,Mexico,3700.0
Leila Wilson,YouTube,Cooking,1850000,Australia,4300.0
Rhys Chen,Twitch,Gaming,1050000,China,2600.0
Harper Brown,Instagram,Fashion,750000,USA,1950.0
Anders Lee,TikTok,Music,1700000,Sweden,4000.0
